SL,Date of visit,Company Visited,Involved Branches,CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AM,ICE,VLSI,Mat Engg,Mechatronics,PHYS,MTHS,CHEM,GEOY,Total
,,,,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
1.0,,Digital Dynamic,IT (UG),,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1.0
2.0,,CESC,CST/EE/ME (UG),1,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,5.0
3.0,2014-08-09 00:00:00,Maruti,ME (UG),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1.0
4.0,2014-08-18 00:00:00,TCS,CST/EE/IT/ETC (UG),1,,2,2,0,,0,,,,,,,,,,4,,,,,,,,,,,,9.0
5.0,2014-08-19 00:00:00,Deloitte,All branches (UG),1,,1,,2,,3,,0,,1,,0,,0,,0,,0,,,,,,,,,,8.0
6.0,2014-08-25 00:00:00,Lexmark,CST/ETC/IT (UG),4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,4.0
7.0,2014-08-25 00:00:00,MNDastur,EE/ME/CE/MetE/Arch (UG),,,,,4,,,,4,,4,,1,,0,,1,,0,,,,,,,,,,14.0
8.0,2014-08-28 00:00:00,HSBC,CST/ETC/IT/EE/ME/CE/Met/Min/Aero(UG),1,,2,,1,,1,,0,,0,,1,,1,,,,0,,,,,,,,,,7.0
9.0,2014-08-29 00:00:00,Linde,ME (UG),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1.0
10.0,2014-08-29 00:00:00,L & T - ECC,EE/ME/CE (UG & PG),,,,,0,,,,0,,17,1,,,,,,,,,,,,,,,,,18.0
11.0,2014-09-01 00:00:00,EXL,CST/ETC/IT/EE/ME/CE/Met/Min/Aero(UG),1,,3,,4,,5,,3,,0,,0,,0,,,,0,,,,,,,,,,16.0
12.0,2014-09-03 00:00:00,Mu-Sigma,CST/ETC/IT/EE/ME/CE/Met/Min(UG) & VLSI/MatEngg/Mechatronics/safety (PG),9,,5,,3,,5,,0,,1,,,,,,,,,,,,,,,,,,23.0
13.0,2014-09-05 00:00:00,Dynamics Digital,"CST / ETC / IT (UG&PG), ICE (PG)",2,,2,,0,,5,,,,,,,,,,,,,,,,,,,,,,9.0
