SL,Date of visit,Company Visited,CTC Offered P/A,CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,ARC,ARC.1,AERO,AERO.1,PDSI,VLSI,Mat Science,Mechatronics,Geo Informatics,REST,PHYS,MTHS,CHEM,GEOY,Total
,,,Rs. In Lakh,UG,PG,UG,PG,UG,PG,UG,PG (ICE),UG,PG,UG,PG,UG,PG,UG,UG,PG,UG,PG,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,
1,,CESC (PPO),6L,1,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,5.0
2,,Tata Steel (PPO),7L,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,4.0
3,,Lexmark (PPO),5L,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2.0
4,,Google (PPO),36.5L(aprx),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
5,,Diynamic Digital (PPO),5L,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
6,8/8/2015 & 08/10/15,Maruti,6L,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4.0
7,"14,21-Aug-15",ZS Associates,6.4L,1,,1,,0,,3,,0,,0,,0,,0,,,,,,,,,,,,,,,5.0
8,18&19-Aug-15,Deloitte,5.6L,2,,2,,2,,0,,1,,0,,1,,1,,,0,,,,,,,,,,,,9.0
9,20&31-Aug-15,Mu-Sigma,N.A,2,,1,,3,,0,,0,,1,,0,,0,,,1,,,,,,,,,,,,8.0
10,2015-08-24 00:00:00,"TCS (EIS, R&D)",7L,3,,1,2,,0,1,1,1,1,,,,,,,,0,2,0,1,0,0,,,,,,,13.0
11,2015-08-25 00:00:00,PWC,6.5L,8,,8,,4,,3,,1,0,,,,,,,,,,0,2,,,,,,,,,26.0
12,2015-08-26 00:00:00,CESC,7L,2,,,,3,,0,,1,,,,,,,,,,,,,,,,,,,,,6.0
13,2015-08-27 00:00:00,Elegant Shipping,5L,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3.0
14,27&28-Aug-15,Tata Metaliks,7.6L,,,,,0,,,,0,,,,1,,,,,,,,,,,,,,,,,1.0
15,27&28-Aug-15,Lister Technologies,5L,2,0,2,,0,0,0,,,,,,,,,,,,,0,0,,0,,,,,,,4.0
16,2015-08-27 00:00:00,Innoplexus,3L,0,0,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,0.0
17,2015-08-28 00:00:00,Directi,46L(aprx),1,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,1.0
18,2015-08-31 00:00:00,M.N.Dastur,3.54L,,,,,3,,,,2,,5,,0,,,,,,,,,0,,,,,,,,10.0
19,2015-09-01 00:00:00,TCS (Mass Recruit),3.5L,9,3,5,1,3,1,7,0,0,0,0,0,0,0,0,,,1,1,0,2,0,1,,,,,,,34.0
20,2&3-Sep-15,Accenture,3.5L,16,3,11,1,#,1,16,0,18,3,25,2,7,,11,,,5,2,0,3,0,0,0,0,,,,,138.0
21,3&30-Sep-15,Texas Instruments,15L,,,1,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,1.0
22,2015-09-04 00:00:00,Wipro,3.02L,6,5,6,5,#,2,15,3,3,1,1,0,1,,1,,,0,0,3,4,0,2,,,,,,,68.0
23,7&8-Sep-15,IBM,3.5L,10,4,5,5,5,7,6,2,6,2,18,2,0,0,,,,1,0,2,5,0,2,0,,,,,,82.0
24,9&10-Sep-15,CTS,3.5L,15,1,11,5,#,6,15,3,3,1,3,0,2,0,4,,,2,1,3,7,0,4,1,1,,,,,100.0
25,12&14-Sep-15,Infosys,3.25L,11,1,10,6,7,5,6,0,6,1,10,0,0,1,7,,,2,2,2,3,3,1,,2,,,,,86.0
26,2015-09-29 00:00:00,Dynamic Digital,4.97L,4,2,0,0,,,2,,,,,,,,,,,,,0,0,,,,,,,,,8.0
27,2015-09-29 00:00:00,Shapoorji,3.5L,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3.0
28,2015-10-03 00:00:00,Cybage,2.16L,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.0
29,2015-10-07 00:00:00,Amec Foster Wheeler,4.2L,,,,,1,,,,2,,1,,,,,,,,,,,,,,,,,,,4.0
30,2015-10-12 00:00:00,Hyundai,6.5L,,,,,0,,,,0,0,,,,,,,,,0,,,,1,,0,,,,,1.0
31,2015-11-05 00:00:00,Aakash Inst.,4.8L,0,0,0,0,0,,0,0,0,,1,,0,,0,,,0,0,0,0,,0,0,0,0,0,0,,1.0
32,2015-11-09 00:00:00,DX  Corr,3.5L,,,2,1,0,,,,,,,0,,,,,,,,,3,,,,,,,,,6.0
33,2015-11-12 00:00:00,Vedanta Resc.,7.25L,,,0,,2,,,,2,,0,,2,,,,,,,,,,,,,,,,,6.0
34,2015-11-19 00:00:00,Tata Steeel,6L,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,4.0
35,2015-11-20 00:00:00,Linde,4.6L,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,2.0
36,2016-01-09 00:00:00,Sanmar Group                             3.59L,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0
37,2016-01-11 00:00:00,Haldia Petrochemicals Ltd.,3.6L,,,,,1,,,,2,,1,,0,,,,,,,,,,,,,,,,,4.0
38,2016-01-11 00:00:00,Pipavav,4.5L,,,0,,0,,,,1,,0,0,0,,,,,,,,,,,,,,,,,1.0
39,2016-01-15 00:00:00,Sankalp Semiconductor,5L,,,1,0,0,,,,,,,,,,,,,,,,1,,,,,,,,,2.0
40,2016-01-18 00:00:00,Reve Solution,7.5L,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4.0
41,19 & 20 Jan-2016,Paharpur Cooling Tower,3.6L,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2.0
42,19 & 20 Jan-2016,Blue Star,5L,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
