SL,Date of visit,Company Visited,CTC Offered P/A,CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Food Proc.,REST,Safety,PHYS,MTHS,CHEM,MBA,HSCI,Total
,,,Rs. In Lakh(p/a),UG,PG,UG,PG,UG,PG,UG,PG (ICE),UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,
1.0,P P O,C E S C,7,1,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,7.0
2.0,P P O,Tata Steel,10.5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3.0,P P O,Texas Instruments,15.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
4.0,P P O,Dynamic Digital,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
5.0,P P O,Microsoft,22,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0
6.0,2016-08-13 00:00:00,Maruti,7.2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4.0
7.0,2016-08-17 00:00:00,ZS Associates,6.53,4,,0,,0,,2,,0,,1,,0,,0,,0,,0,,,,,,,,,,,,,7.0
8.0,2016-08-16 00:00:00,Tata Metalics,7.5,,,,,1,,,,1,,,,0,,,,,,,,,,,,,,,,,,,2.0
9.0,2016-08-18 00:00:00,Directi,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.0
10.0,2016-08-30 00:00:00,PWC,5.5,6,0,3,0,5,1,5,0,1,,,,,,,,,,,,0,,,,,,,,,,,21.0
11.0,2016-08-31 00:00:00,"TCS-CTO,Digital",10/6.3,4,1,0,1,0,,0,,0,0,,,0,,,,0,,,,,0,0,,,,,0,,,,6.0
12.0,2016-09-01 00:00:00,Dynamic Digital                          6,,1,0,0,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,2.0
13.0,2016-09-05 00:00:00,HSBC,7.9,1,0,1,0,1,0,0,0,0,0,,,0,,0,0,0,0,2,0,,,,,,,,,,,,5.0
14.0,2016-09-07 00:00:00,Microsoft,9.8,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,6.0
15.0,2016-09-08 00:00:00,Nomura Fintech,4.5,4,,0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,8.0
16.0,2016-09-09 00:00:00,Avanseus Technologies,5,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4.0
17.0,2016-09-17 00:00:00,MU Sigma,7,1,,2,,2,,1,,1,,0,,0,,0,,0,,1,,,,,,,,,,,,,8.0
18.0,2016-09-20 00:00:00,Accenture,3.7,14,,12,,10,,11,,3,,13,,8,,5,,,,2,,,,,,,,,,,,,78.0
19.0,2016-09-22 00:00:00,CTS,3.6,15,,18,,14,,14,,17,,16,,8,,5,,0,,5,,,,,,,,,,,,,112.0
20.0,2016-09-23 00:00:00,Wipro,3.5,9,,8,,1,,9,,2,,2,,,,,,,,,,,,,,,,,,,,,31.0
21.0,2016-09-27 00:00:00,IBM,3.7,5,1,9,,12,,7,1,,,,,,,,,,,,,,,,,,,,,,,,35.0
22.0,2016-09-28 00:00:00,M.N.Dastur,3.75,,,,,1,,,,0,,1,,0,,,,,,,,,,,,,,,,,,,2.0
23.0,2016-09-29 00:00:00,Vedanta Lanjigarh,7.95,0,,0,,4,,,,5,,0,,3,,2,,,,,,,,,,,,,,,,,14.0
24.0,2016-10-01 00:00:00,GE Digital,10,1,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1.0
25.0,2016-10-03 00:00:00,Smartprix,10,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.0
26.0,2016-10-03 00:00:00,Amazon India,22,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,0.0
27.0,2016-10-03 00:00:00,Kharagpur Metal,3.6,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4.0
28.0,2016-10-04 00:00:00,Infosys,3.28,8,1,7,2,5,0,6,0,3,2,4,0,3,,3,,0,,1,1,0,0,0,,,0,0,0,,,,46.0
29.0,2016-10-04 00:00:00,Google,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0.0
30.0,2016-10-24 00:00:00,Hyundai Motors,6.5,,,,,√,,,,√,√,,,√,,,,,,,√,,√,√,,,,,,,,,
31.0,2016-11-03 00:00:00,L & T- ECC,4.2,,,0,,0,0,,,0,0,6,0,,,2,,,,,,,,,,,1,,,,,,9.0
32.0,2016-11-15 00:00:00,Akash Institute,5.5,0,,0,,1,,0,0,0,0,1,0,0,,1,0,,,1,0,0,0,0,,,,,0,0,,,4.0
33.0,2016-11-22 00:00:00,Elegant Marine Services,7.56,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2.0
34.0,2016-12-05 00:00:00,DX Corr,3,0,0,6,4,0,0,2,0,,,,,,,,,,,,,6,,,,,,,,,,,18.0
35.0,2016-12-05 00:00:00,Electro steel Casting,4.2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2.0
36.0,2016-12-07 00:00:00,Vikram Solar,5,,,1,0,2,2,,,,,,,1,,,,,,,,,1,,,1,,0,,,,,8.0
37.0,2016-12-12 00:00:00,Coal India Limited,9.3,,,,,,,,,6,,3,,,,8,,,,,,,,,,,,,,,,,17.0
38.0,2016-12-21 00:00:00,E-Tutorhome,4,0,,0,,0,,1,,0,,,0,,,,,,,0,0,,0,,,,,0,,,,0,1.0
39.0,2017-01-11 00:00:00,Meditab Software,5.5,0,0,0,,√,,√,√,,,√,,,,,,,,,,,,,,,,,,,,,
