SL,Date of visit,Company Visited,Status,"CTC
Offered P/A",CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Food Proc.,REST,Bio-Medical,PHYS,MTHS,CHEM,MBA,HSCI,Total
,,,,Rs. In Lakh(p/a),UG,PG,UG,PG,UG,PG,UG,PG (ICE),UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,
1.0,PPO,CESC,Offered,7,1,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,5.0
2.0,PPO,Dynamic Digital Technologies,Offered,5.58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3.0,2017-08-30 00:00:00,Veritas Technologies LLC,Offered,9.26,5,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,6.0
4.0,28.08/01.09.2017,PWC,Offered,8.5,11,0,6,,6,,5,0,6,,0,,0,,0,,,,0,,,,,,,,,,,,,34.0
5.0,26.08/21.09.2017,Maruti,Offered,7.2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3.0
6.0,01/25.09.2017,Smartprix,Offered,10,2,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.0
7.0,06/09.09.2017,M.N.Dastur,Offered,4.37,,,,,1,,,,0,,1,,0,,,,,,,,,,,,,,,,,,,2.0
8.0,2017-09-05 00:00:00,Directi,Offered,26.88,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
9.0,31.08/04.09.2017,ZS Associates,Offered,6.53,1,,0,,0,,1,,0,,1,,0,,0,,,,0,,,,,,,,,,,,,3.0
10.0,29.08/08.09.2017,HSBC Technologies,Offered,7.25,1,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,,,1,0,0,0,0,,0,0,0,0,,0,,4.0
11.0,06/07.09.2017,CGI Information Systems,Offered,7.12,6,,0,,0,,5,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,11.0
12.0,01/09.09.2017,Microsoft,Offered,10.08,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5.0
13.0,12/18.09.2017,Saint-Gobain,Offered,7.3,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,1.0
14.0,2017-09-13 00:00:00,TCS - CTO,Offered,10,,0,,0,,0,,1,,0,,,,,,,,,,0,0,0,0,,0,,,0,,,,1.0
16.0,2017-09-15 00:00:00,Hyundai Motors,Completed,7.5,,,,,0,0,,,0,0,,,,,,,,,,,,,0,,,,,,,,,0.0
17.0,05/06.10.2017,Infosys,Offered,3.26,5,1,8,1,6,1,5,2,5,0,5,0,3,,4,0,,,5,0,2,0,1,,0,0,0,0,,,,54.0
18.0,2017-10-11 00:00:00,IBM,Offered,3.5,1,,5,,3,,5,1,,,,,,,,,,,,,,,,,,,,,,,,15.0
19.0,2017-10-09 00:00:00,Wipro,Offered,3.2,4,,2,,2,,9,,0,,,,,,,,,,,,,,,,,,,,,,,17.0
20.0,10/13.10.2017,TCS (Mass),Offered,3.27,5,1,3,1,1,0,9,0,1,0,5,0,3,,1,0,0,,3,,5,0,0,,,,0,2,,,,40.0
21.0,2017-10-06 00:00:00,Adobe,Under Process,39.12,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.0
22.0,2017-10-31 00:00:00,Mentor Graphics,Offered,16.18,1,1,0,0,0,0,1,0,,,,,,,,,,,,,0,,,,,,,,,,,3.0
23.0,06.10 & 20.11.201,Shapoorji,Offered,3.5,,,,,2,,,,0,,4,,,,,,,,,,,,,,,,,,,,,6.0
24.0,2017-10-11 00:00:00,Causecode Technologies,Completed,6,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
25.0,2017-11-03 00:00:00,Hindusthan Unilever,Offered,8.5,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,1.0
26.0,2017-11-04 00:00:00,MU Sigma,Offered,7,0,,0,,0,,0,,0,,2,,,,,,,,,,,,,,,,,,,,,2.0
27.0,30.10.201,Electrosteel Casting,Offered,4.5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2.0
28.0,23/24.10.2017,L & T ECC,Offered,5.4,,,,,3,0,,,0,0,1,0,,,0,,,,,,,,,,,,,,,,,4.0
29.0,2017-10-25 00:00:00,Aakash Institute,Offered,6,0,0,0,0,1,0,0,0,2,0,0,0,0,,0,0,0,,0,0,,,,,,0,0,0,0,,0,3.0
30.0,2017-11-02 00:00:00,Elegant Marine,Offered,5,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,9.0
31.0,2017-11-06 00:00:00,Sankalp Semiconductor,Offered,5,,,1,1,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,3.0
32.0,2017-11-14 00:00:00,Vedanta Limited,Offered,7.95,,,0,,3,,,,3,,0,,5,,6,,,,,,,,,,,,,,,,,17.0
33.0,15/16.11.2017,Reve System,Offered,6.6,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2.0
34.0,2017-12-14 00:00:00,Vikram Solar,Offered,7,,,1,0,1,0,,,1,0,0,0,1,,0,0,,,,,,1,,,1,,,,,,,6.0
35.0,,Linde,Under Process,6,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
36.0,2017-11-20 00:00:00,Samsung R & D Institute,Offered,11,0,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3.0
37.0,,Synopsys,Under Process,14,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
38.0,2017-11-10 00:00:00,Cummins,Completed,5.3,,,,0,,,,,0,0,,,,,,,,,,0,,,,,,,,,,,,0.0
39.0,,M.N.Dastur (Mining),Under Process,4.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.0
40.0,,Morgan Stanley,Under Process,N.A,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,,,,,,0.0
