SL,Company Visited,Status,Annual CTC Offered,Unnamed: 4,Unnamed: 5,Unnamed: 6,CST,CST.1,ETC,ETC.1,ETC.2,EE,EE.1,EE.2,IT,IT.1,IT.2,ME,ME.1,ME.2,CE,CE.1,CE.2,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,"Food
Proc.",REST,Bio - Medical,PHYS,MTHS,CHEM,MBA,HSCI,Total
,,,Rs. In Lakh(p/a),,,,UG,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,PG,UG,PG,UG,PG,UG,PG,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,
1.0,C E S C,Offered,7.1,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2.0,Mentor Graphics,Offered,14.5,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
3.0,P W C,Offered,8.41,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
4.0,Saint Gobain,Offered,9,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1.0
5.0,Dynamic Digital,Offered,6.25,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
6.0,Infosys (HackwithInfy),Offered,8,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
7.0,Hyland Software,Offered,7,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
8.0,TCS Digtal,Offered,7.2,,,,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,0,,0,,,,0,,0,,0,,,,,,,,,9.0
9.0,Microsoft IDC,Offered,39,,,,2,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,0,,0,,,,,0,,,,5.0
10.0,Mentor Graphics,Offered,16.18,,,,1,0,2,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,3.0
11.0,Envestnet Yodlee,Offered,8.7,,,,1,0,,,,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
12.0,Codenation,Offered,31,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,0.0
13.0,Nissan Digital,Pending,10,,,,0,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
14.0,ZS Associates,Offered,6.53,,,,1,,0,,,0,,,3,,,1,,,1,,,0,,0,,,,0,,,,,,,,,,,,,6.0
15.0,Cirel Systems,Completed,11.75,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
16.0,CGI Information Systems,Offered,7.12,,,,14,0,0,,,0,,,9,1,0,0,,,0,,,0,,0,,,,1,,,,,,,,,,,,,25.0
17.0,PWC,Offered,9.68,,,,4,0,3,,,8,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,24.0
18.0,UBER,Pending,30,,,,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
19.0,Indian Navy,Pending,N.A,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,,,,0,,,,,,,,,,,,,0.0
