SL,Company Visited,Type of Offer,Eligible Students,Applied Students,Status,Annual CTC Offered,CST,CST.1,ETC,ETC.1,ETC.2,EE,EE.1,EE.2,IT,IT.1,IT.2,ME,ME.1,ME.2,CE,CE.1,CE.2,MET,MET.1,MET.2,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Food Proc.,REST,Bio - Medical,Safety,Phys,Mths,Chem,MBA,Earth Science,Total
,,,,,,"Rs. In
Lakh(p/a)",UG,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,PG,UG,PG,UG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
1.0,CESC Ltd.,Core Engineering,123,88,Offered,8,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2.0,Price Waterhouse Coopers,Consulting,241,176,Offered,8.41,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
3.0,Microsoft IDC,Development,183,109,Offered,39,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
4.0,Tata Consultancy Services (R & I),R&D,82,21,Offered,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
5.0,Hyland Software,Development,156,80,Offered,5.75,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
6.0,Barclays,Finance,,,Offered,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
7.0,Tata Steel Ltd.,Core Engineering,115,94,Offered,10.11,,,,,,2,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,5.0
8.0,Daikin,Core Engineering,63,42,Offered,4.5,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
9.0,Vedanta- Cairn Oil & Gas,Core Engineering,23,20,Offered,13.5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
10.0,Cirel Systems Pvt Ltd,Core Engineering,89,66,Completed,13.25,,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0
11.0,UBER,Development,248,180,Offered,10.26,1,,1,0,,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
12.0,Mentor Graphics,Core Engineering,178,133,Offered,18.02,1,,1,0,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
13.0,Whatfix,,118,103,Completed,12,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
14.0,Wells Fargo EGC Pvt. Ltd.,Finance,118,113,Offered,20,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
15.0,ZS Associates,Consulting,402,321,Offered,8.93,2,,0,,,1,,,2,,,0,,,1,,,0,,,0,,,,1,,,,,,,,,,,,,,7.0
16.0,Price Waterhouse Coopers,Consulting,220,203,Offered,8.41,6,0,5,,,4,,,7,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
17.0,Capgemini,Consulting,557,382,Offered,6.8,10,3,6,1,1,4,0,0,8,0,0,2,0,0,1,0,,0,0,,1,,,,0,0,0,,0,,,,,,,,,,37.0
18.0,Cognizant Technology Solutions,ITES,510,269,Offered,4,8,2,8,2,3,11,1,2,11,0,1,8,0,2,11,5,0,6,0,0,4,1,,,8,0,1,0,0,,1,0,0,,,,,,96.0
19.0,FactSet,Consulting,111,80,Offered,9.1,4,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
20.0,Mihup Communication Pvt. Ltd.,Development,66,60,Offered,6.5,3,0,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
21.0,Shapoorji & Pallonji Co. Pvt. Ltd.,Core Engineering,54,40,Offered,3.75,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4.0
22.0,Principal Global Services Pvt. Ltd.,Consulting,371,230,Offered,6,0,,2,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,,,,,,,,,,,2.0
23.0,Digite Infotech Pvt. Ltd.,Development,314,154,Offered,8.5,1,0,0,,,1,,,5,0,1,0,,,1,,,0,,,0,,,,0,,,,,,,,,,,,,,9.0
24.0,Infosys,ITES,439,195,Offered,3.8,1,1,4,1,0,3,1,1,7,0,0,1,0,4,2,2,0,1,0,1,4,1,,,3,0,1,1,0,,0,0,0,1,0,,,,41.0
25.0,Deutsche Bank,Finance,111,91,Offered,14.5,2,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
26.0,I B M (Associates),Development,213,161,Offered,7.85,3,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
27.0,Obopay Mobile Technologies Pvt. Ltd.,Core Engineering,380,124,Offered,6.5,1,,0,0,,1,1,,0,0,,0,0,,1,0,,0,0,,0,,,,0,,,,,,,,,,,,,,4.0
28.0,Dynamic Digital Technologies Pvt. Ltd.,Development,51,32,Offered,7,4,3,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
29.0,L & T- ECC,Core Engineering,153,123,"Partly
offered",6.25,,,,,0,3,,0,,,,,,0,6,,0,,,,,0,,,,,,,,,,,1,,,,,,10.0
30.0,Institute of Engineering & Management,Education,316,153,Offered,14,0,1,0,0,0,0,0,2,1,0,0,0,0,0,,,,,,,,,,,,0,0,,0,,,,,,0,,,,4.0
31.0,D C P L,Core Engineering,100,13,Offered,3.75,,,,,,1,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,4.0
32.0,I B M (Developer),Development,111,77,Offered,7.5,0,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
33.0,Ericsson Indial Global Services,Core Engineering,68,45,Offered,6.5,2,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
34.0,Saint-Gobain,Core Engineering,69,57,Completed,9,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.0
35.0,Samsung R&D,R&D,215,145,Offered,12,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
36.0,Hindusthan Unilever Ltd.,Management,105,88,Completed,7.95,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
37.0,TCS Digital,Development,N.A,N.A,Offered,7.2,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
38.0,TCS Ninja(software),ITES,439,N.A,Offered,3.6,8,2,6,,,4,1,,11,,,1,,,3,1,,4,,,1,,,,,,,,,,,,,,,,,,42.0
39.0,Berger Paints India Ltd.,Management,13,9,Pending,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0
40.0,Media.Net (Directi),Development,654,221,Offered,29.95,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,6.0
41.0,OYO,Operation,147,54,Offered,5,,,,,,4,,,,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,6.0
42.0,Jindal Stainless Ltd.,Core Engineering,123,100,Offered,6,,,,,,1,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,5.0
43.0,Reliance JIO Infocomm,Development,38,29,Offered,5.31,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
44.0,Tata Consultancy Services CTO (R & I),R&D,113,69,Offered,11.5,1,2,0,2,4,0,0,0,0,0,0,,,,,,,0,0,0,,,,,0,0,0,0,,,,0,,,0,,,,9.0
45.0,Zifo R & D,R&D,47,25,Completed,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,0.0
46.0,Kotak Life Insurance,Insurance,24,20,Offered,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2.0
47.0,Vikram Solar Ltd.,Core Engineering,145,121,Offered,8.5,,,0,0,,1,0,0,,0,,1,0,0,,,1,0,0,0,0,0,,,,,,0,0,,0,,,,,,,,3.0
48.0,GE Heathcare,Healthcare,53,32,Offered,4.75,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
49.0,"Tata Consultancy Services (Technical
Analyst)",Consulting,23,7,Offered,11.5,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
