SL,Company Visited,Type of Offer,Eligible Students,Applied Students,Status,Annual CTC ( As per available information ),CST,CST.1,ETC,ETC.1,ETC.2,EE,EE.1,EE.2,IT,IT.1,IT.2,ME,ME.1,CE,CE.1,CE.2,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Foo d Proc.,REST,Bio - Medical,Safety,Phys,Mths,Chem,MBA,Earth Science,Total
,,,,,,Rs. In Lakh(p/a),U G,P G,U G,D D,P G,U G,D D,P G,U G,D D,P G,U G,P G,U G,D D,P G,U G,P G,U G,P G,U G,P G,U G,"A M P
G",PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
1.0,CESC Ltd.,Core Engineering,,,Offered,8.45,1,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2.0,Microsoft IDC,Software,,,Offered,39,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
3.0,Hyland Software,Software,,,Offered,6.4,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
4.0,Tata Steel Ltd.,Core Engineering,,,Offered,10.58,,,,,,2,,,,,,1,,,,,2,,3,,,,,,,,,,,,,,,,,,8.0
5.0,ZS Associates,Consulting,,,Offered,8.93,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
6.0,TCS Digital (Through CodeVita),Software,,,Offered,7.36,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
7.0,TCS Ninja (Through CodeVita),ITES,,,Offered,3.53,3,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
8.0,Infosys (InfyTQ),ITES,,,Offered,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
9.0,Morgan Stanley,Consulting,,,Offered,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
10.0,Infosys (HackwithInfy),Software,,,Offered,8,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
11.0,Infosys System Engineer(HackwithInfy),Software,,,Offered,5,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
12.0,Aditya Birla Group,Core Engineering,,,Offered,6,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2.0
13.0,PriceWaterhouse Coopers,Consulting,,,Offered,8.44,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
14.0,Codenation Innovation Labs,Software,651,204.0,Completed,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,,,,,,0.0
15.0,JusPay,Software,252,146.0,Pending,8,0,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
16.0,Atlassian,Consulting,217,178.0,Offered,51.75,1,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
17.0,Deutsche Bank,Data Analytics,147,134.0,Offered,19.63,4,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
18.0,Wells Fargo EGS,Software,121,111.0,Offered,20,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
19.0,Mentor Graphics,Software,219,189.0,Offered,16.3,3,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
20.0,Capgemini (T201),Consulting,593,436.0,Offered,6.8,2,0,2,0,1,5,0,1,4,0,0,1,0,3,0,0,0,0,1,0,,,0,,0,0,0,,,,,0,,,,,20.0
21.0,Anchanto Services Pvt. Ltd.,Consulting,122,109.0,Offered,15,7,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
22.0,Infosys,ITES,627,572.0,Offered,,3,2,4,1,4,8,0,0,4,0,1,6,0,8,0,0,1,1,2,0,,,4,0,1,0,1,,0,0,0,0,0,,,,51.0
23.0,TCS Digital,Software,396,279.0,Offered,7.36,5,0,4,0,0,3,0,0,5,0,0,0,0,,,,,,,,,,,0,,0,,,,,,,,,,,17.0
24.0,Telecom Regulatory Authority of India,Core Engineering,50,44.0,Pending,10.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
25.0,ZS Associates,Consulting,426,340.0,Offered,8.93,3,,4,,,0,,,5,,,0,,2,,,0,,1,,,,0,,,,,,,,,,,,,,15.0
26.0,Cognizant,ITES/Software,612,395.0,Offered,4.2-6.76,12,1,14,1,8,19,,1,11,,,13,1,27,,,6,1,7,1,,,4,,4,,0,,0,0,0,,,,,,131.0
27.0,TCS Ninja,ITES,674,381.0,Offered,3.53,9,0,8,1,1,14,1,1,14,0,1,2,0,9,0,0,1,0,1,0,,,1,1,2,0,0,0,0,0,0,0,0,0,,0,67.0
28.0,L&T Technology Services,Consulting,204,161.0,Offered,7,2,,2,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
29.0,Abzooba,Software,411,240.0,Offered,6,1,,1,,,0,,,2,,,0,,0,,,0,,0,,,,0,,,,,,,,,,,,,,4.0
30.0,iMerit,Software,167,114.0,Pending,6.5,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0
31.0,L&T Limited (PGET),Core Engineering,47,36.0,Offered,,,,,,0,,,0,,,,,0,,,0,,,,1,,,,0,,,0,,,,1,,,,,,2.0
32.0,L&T Limited (GET),Core Engineering,252,192.0,Offered,,0,,0,,,1,,,,,,4,,5,,,,,,,,,,,,,,,,,,,,,,,10.0
33.0,Jio Platforms Ltd. (Reliance Group),Core Engineering,66,56.0,Offered,5.75,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
34.0,Digite Infotech Pvt. Ltd.,Data Analytics,153,90.0,Offered,7.5,1,0,1,,,0,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
35.0,Zifo R&D,Data Analytics,39,23.0,Offered,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,0,0,,,1.0
36.0,Synopsys India Pvt. Ltd.,Data Analytics,47,39.0,Pending,17.23,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
37.0,Vedanta- Cairn Oil & Gas,Core Engineering,266,202.0,Offered,6.5,,,,,,0,0,0,,,,0,0,0,0,0,1,1,0,0,,,,0,,,,,,,,,,,,,2.0
38.0,PriceWaterhouse Coopers,Consulting,144,120.0,Offered,8.44,2,,4,,,6,,,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,22.0
39.0,DCG Data Core Systems Pvt. Ltd.,Data Analytics,25,12.0,Pending,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0
40.0,Tata Steel BSL Ltd.,Core Engineering,82,58.0,Offered,5,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4.0
41.0,IFB Industries Ltd.,Core Engineering,137,86.0,Pending,4.5,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0
42.0,Electrosteel Casting Ltd. (Civil),Core Engineering,47,36.0,Offered,4.5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2.0
43.0,Intuit India,Software,89,72.0,Completed,26.3,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
44.0,Hexaware Technologies,Software,Off Campus,,Offered,3.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
45.0,BNY Mellon,Data Analytics,Off Campus,,Offered,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
46.0,Google (SWE),Software,Off Campus,,Offered,31.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
47.0,Tata Steel Long Products Ltd.,Core Engineering,126,73.0,Offered,3.68,,,,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,4.0
48.0,Aakash Institute,Other,591,348.0,Offered,7.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,,0,0,,,,0,,,,0,0,0,,0,2.0
