SL,Date of Visit,Company Visited,Type of Offer,Eligible Students,Applied Students,Status,"Annual CTC
Offered",CST,CST.1,ETC,ETC.1,ETC.2,EE,EE.1,EE.2,IT,IT.1,IT.2,ME,ME.1,ME.2,CE,CE.1,CE.2,MET,MET.1,MET.2,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,AERO.2,VLSI,Mat Science,Mechatronics,Food Proc.,REST,"Bio
-
Medical",Safety,Phys,Mths,Chem,MBA,Earth Science,Total
,,,,,,,"Rs. In
Lakh(p/ a)",UG,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,PG,UG,PG,UG,DD,AM PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
1.0,PPO,CESC Ltd.,,,,Offered,8.45,1,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2.0,PPO,Microsoft IT India,,,,Offered,45,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3.0,PPO,Wells Fargo EGS,,,,Offered,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
4.0,PPO,Microsoft IDC,,,,Offered,45,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
5.0,PPO,Deutsche Bank,,,,Offered,19.63,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
6.0,PPO,P W C,,,,Offered,8.12,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
7.0,PPO,Texas Instruments,,,,Offered,22,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
8.0,PPO,Tata Steel Ltd.,,,,Offered,10.52,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,2.0
9.0,PPO,Tata Steel Long Products Ltd.,,,,Offered,4.48,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1.0
10.0,PPO,Tata Steel BSL Ltd.,,,,Offered,5.01,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
11.0,PPO,Vedanta Cairn Oil & Gas,,,,Offered,13.3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
12.0,,Cognizant (Gen C Next),Software,285,154,Completed,6.75,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0
13.0,,Trilogy Innovations,Software,690,297,Completed,36.5,0,0,0,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0
14.0,,Wells Fargo EGS,Consulting,218,175,Offered,20,6,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
15.0,,Zifo R&D Solutions,Core Engineering,9,8,Offered,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2.0
16.0,,Tata Consultancy Services (Digital),Software,,,Offered,7.3,3,,1,,1,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
17.0,,Tata Consultancy Services (Ninja),ITES,,,Offered,3.53,1,,2,,,2,,,5,,,1,,,,,,,,1,,,,,1,,,,,1,,,1,,,1,,,,16.0
18.0,,Mentor Graphics,Core Engineering,159,145,Offered,22.23,2,,0,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
19.0,,Amazon India,Software,236,178,Offered,11.62,1,0,1,0,,0,0,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
20.0,,Deutsche Bank,Finance,170,142,Offered,19.63,3,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
21.0,,P W C,Consulting,287,270,Offered,8.12,10,2,3,0,,3,0,,13,0,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
22.0,,Atlassian,Software,193,127,Offered,26.57,3,,1,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
23.0,,ZS Associates,Consulting,407,314,Offered,12.84,2,,0,0,,5,0,,2,0,,1,0,,2,0,,0,0,,0,,,,0,,,,,,,,,,,,,,,12.0
24.0,,Publicis Sapient,Core Engineering,131,95,Offered,10,0,,1,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
25.0,,Rebel Foods Pvt. Ltd.,Software,115,93,Offered,12,3,0,,,,,,,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
26.0,,Shapoorji Pallonji & Co. Ltd.,Core Engineering,204,120,Offered,3.75,,,,,,0,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3.0
27.0,,Digite Infotech Pvt. Ltd.,Core Engineering,187,113,Offered,7.5,2,0,2,,,0,,,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
28.0,,Capgemini (T 201),Consulting,563,340,Offered,7.5,6,3,6,0,2,2,0,1,4,0,2,5,0,0,8,0,0,4,0,0,,,,,4,0,,0,0,3,,,0,,,,,,,50.0
29.0,,Ernst & Young India Pvt. Ltd.,Consulting,203,108,Offered,6.37,0,,1,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5.0
30.0,,Anchanto Services Pvt. Ltd.,Consulting,103,87,Offered,15,3,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
31.0,,Cognizant (Gen C),ITES,585,265,Offered,4,4,2,9,0,7,13,0,2,4,0,1,13,0,0,23,1,0,10,0,1,8,0,,,4,0,,1,1,5,,,,,,,,,,109.0
32.0,,Cognizant (Gen C Elevate),ITES,255,96,Offered,4,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2.0
33.0,,Berger Paints India Ltd.,Sales,10,4,Completed,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0
34.0,,Wipro Ltd.,ITES,420,268,Offered,3.6,1,,1,0,,4,0,,4,0,,2,0,,5,0,,4,0,,0,,,,2,0,,,,,,,,,,,,,,23.0
35.0,,Media.Net (SDE),Core,245,123,Completed,29.92,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
36.0,,Infosys,ITES,669,358,Offered,3.6,1,0,1,0,1,4,0,1,2,0,3,2,0,1,8,0,0,2,0,1,1,0,,,2,0,1,2,1,0,,1,0,0,0,0,,,,35.0
37.0,,Texas Instruments,Core,114,94,Offered,28.41,,,2,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,5.0
