SL,Date of Visit,Company Visited,Type of Offer,Eligible Students,Applied Students,Status,Annual CTC Offered,CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,Geo Informatics,VLSI,Mat Science,Mechatronics,Food Proc.,REST,"Bio
-
Medical",Phys,Mths,Chem,MBA,Earth Science,Total
,,,,,,,"Rs. In
Lakh(p/a)",UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,AM PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
1.0,,Wells Fargo,PPO,,,Offered,24,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2.0,,Deutsche Bank,PPO,,,Offered,19.63,4,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
3.0,,Texas Instruments,PPO,,,Offered,36.42,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
4.0,,SalesForce,PPO,,,Offered,24,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
5.0,,Natwest Group,PPO,,,Offered,14,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
6.0,,CESC Ltd.,PPO,,,Offered,8,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
7.0,,Atlassian,PPO,,,Offered,34.28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
8.0,,Accenture,PPO,,,Offered,11.89,3,,,,3,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,13.0
9.0,,Microsoft,PPO,,,Offered,56,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
10.0,,Google India,PPO,,,Offered,37,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
11.0,,TCS Research & Innovation,PPO,,,Offered,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
12.0,,Primetals Technologies Ltd.,PPO,,,Offered,5.5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
13.0,,Tata Steel Ltd.,PPO,,,Offered,11.88,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
14.0,,PWC India,PPO,,,Offered,8.99,1,,,,2,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,8.0
15.0,,Media.Net (SDE),,328.0,224.0,Offered,39.31,1,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
16.0,,Caterpillar Inc.,,99.0,73.0,Offered,12.27,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,1.0
17.0,,Texas Instruments,,167.0,136.0,Offered,36.42,,,0,0,1,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,1.0
18.0,,PWC India,,555.0,489.0,Offered,8.99-10.26,14,4,6,1,12,1,7,0,5,0,6,0,,,,,,,,,,0,,,,,,,,,,,56.0
19.0,,Wells Fargo,,291.0,226.0,Offered,24,4,,1,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
20.0,,Deutsche Bank,,225.0,190.0,Offered,19.63,4,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
21.0,,TATA AIG General Insurance Co. Ltd.,,189.0,152.0,Offered,11.7,,,,,0,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,2.0
22.0,,Accenture,,573.0,458.0,Offered,11.89,2,,0,,0,,1,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,3.0
23.0,,Acclaris Business Solution (WTW Group),,161.0,140.0,Offered,12,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
24.0,,Daimler Truck Innovation Center India Pvt. Ltd.,,399.0,297.0,Pending,12,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0.0
25.0,,Media.Net (SRE),,306.0,212.0,Offered,15.68,0,0,0,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
26.0,,CHUBB Ltd.,,389.0,283.0,Offered,10.1,1,0,1,,1,,3,0,0,,,,,,,,,,,,,,,,,,,,0,,,,6.0
27.0,,Veritas Technologies Ltd.,,149.0,141.0,Offered,15.78,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
28.0,,BNY Mellon,,493.0,345.0,Offered,21.64,4,,2,,0,,2,,1,,0,,0,,0,,,,0,,,,,,,,,,,,,,9.0
29.0,,L&T Ltd. (GET),,469.0,288.0,Offered,6.57,0,,0,,2,,0,,0,,0,,0,,0,,1,,0,,,,,,,,,,,,,,3.0
30.0,,L&T Ltd. (PGET),,47.0,12.0,Offered,6.8,,0,,0,,1,,0,,0,,1,,0,,0,,,,0,,,,1,,2,,,,,,,5.0
31.0,,Alstom India Ltd.,,416.0,285.0,Offered,6.8-7.5,0,5,0,0,0,2,0,2,0,,,,0,,,,,,,,,0,,2,,,,,,,,,11.0
32.0,,ICICI Bank,,461.0,334.0,Offered,11.4,2,,3,,0,,2,,2,,4,,,,,,,,,,,,,,,,,,,,,,13.0
33.0,,Zifo RnD Solution,,51.0,32.0,Offered,4.77,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,1,1,,,3.0
34.0,,Incture,,244.0,119.0,Offered,8,0,0,1,,1,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
35.0,,Tech Mahindra (Coder/Super Coder),,150.0,58.0,Offered,3.25-5.5,2,,3,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
36.0,,SMS India Pvt. Pvt.,,349.0,195.0,Offered,5.5,0,0,3,,2,,0,0,2,,2,,0,,,,,,,,,,,,,,,,,,,,9.0
37.0,,Worley,,225.0,112.0,Offered,5.15,,,,,1,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,2.0
38.0,,Systra,,49.0,32.0,Offered,5.5,,,,,,0,,,,0,0,4,,,,,1,,,,,,,,,,,,,,,,5.0
39.0,,Meritus Intelytics Pvt. Ltd.,,228.0,165.0,Offered,8.5,1,,1,,0,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,3.0
40.0,,Haldia Petrochemicals Ltd.,,134.0,67.0,Offered,6.5,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2.0
41.0,,JK Tech,,93.0,82.0,Offered,15,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
42.0,,Saint-Gobain India,,269.0,165.0,Offered,7.42,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1.0
43.0,,JSW Group,,237.0,177.0,Offered,8,,,0,,7,,,,16,,,,15,,0,,,,,,,,,,,,,,,,,,38.0
44.0,,Tech Mahindra (Engineer),,131.0,91.0,Pending,7.5,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
45.0,,DX Corr Hardware Technology,,57.0,25.0,Offered,5.2,,,2,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5.0
46.0,,C-DOT,,124.0,111.0,Offered,18.5,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
47.0,,HSBC India (PGET),,105.0,75.0,Completed,11.5,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,,0,0,,,,,,0.0
48.0,,HSBC India (GET),,495.0,347.0,Offered,10.5,0,,0,,0,,1,,1,,0,,0,,0,,,,0,,,,,,,,,,,,,,2.0
49.0,,WSP,,26.0,20.0,Offered,6.5,,0,,,,,,0,,,,0,,,,,,1,,,,,,,,,,,,,,,1.0
50.0,,Hindustan Unilever Ltd.,,126.0,86.0,Offered,7,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,5.0
51.0,,Jindal Power Ltd.,,325.0,234.0,Offered,8,,,0,0,0,0,,,5,0,0,0,,,4,0,,,,,,,,,,,,,,,,,9.0
52.0,,Volvo Group India Pvt. Ltd.,,50.0,33.0,Pending,10,,0,,0,,0,,0,,,,,,,,,,,,,,0,,0,,,,,,,,,0.0
53.0,,Aditya Birla Group,,153.0,88.0,Offered,7,,,,,5,,,,3,,,,,,6,,,,,,,,,,,,,,,,,,14.0
54.0,,Jindal Stainless Ltd.,,265.0,182.0,Offered,7.5-8,0,0,,,1,1,0,0,1,0,,,0,0,,,,,,,,,,,,,,,,,,,3.0
55.0,,TCS Research & Innovation (PG),,63.0,47.0,Completed,11.5,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0.0
56.0,,TCS Research & Innovation (UG),,170.0,132.0,Offered,9,2,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
57.0,,Stardour Aerospace,,32.0,25.0,Pending,5,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0
58.0,,Shapoorji Pallonji & Co. Ltd.,,198.0,47.0,Pending,3.75,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,0.0
59.0,,Mecon India Ltd.,,370.0,262.0,Pending,12.63,0,,,,0,,,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,0.0
60.0,,Vikram Solar Ltd.,,88.0,41.0,Offered,7-8.5,,,0,,2,0,,,0,,,,,0,,,,,,,,,,,,0,,,,,,,2.0
61.0,,Tata Consulting Engineers Ltd.,,308.0,148.0,Offered,4.5,0,,,,1,,1,,0,,6,,,,,,,,,,,,,,,,,,,,,,8.0
62.0,,Tata Consulting Engineers Ltd. (PG),,70.0,50.0,Pending,5,,0,,,,0,,,,0,,0,,0,,,,0,,,,,0,,,0,,,,,,,0.0
63.0,,Tiger Analytics,,209.0,146.0,Offered,9,3,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
64.0,,Jio Platforms Ltd.,,68.0,57.0,Pending,8.5,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
65.0,,Bengal Beverages Pvt. Ltd.,,120.0,23.0,Completed,4.8,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.0
66.0,,Physics Wallah,,570.0,243.0,Offered,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,1,1,,,4.0
67.0,,Mjunction Services Ltd.,,82.0,58.0,Offered,6.25,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
68.0,,Tega Industriws Ltd.,,113.0,46.0,Offered,6.5,,,,,0,,,,3,,,,0,,,,,,,,,,,,,,,,,,,,3.0
69.0,,Exide Industries Ltd.,,38.0,29.0,Offered,12,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,1,,,2.0
70.0,,ITD Cementation India Ltd. (CE),,94.0,66.0,Offered,5.75,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,10.0
71.0,,Omnifi AI Technology Pvt. Ltd. (Arthmate),,142.0,95.0,Offered,9,2,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
72.0,,Nuvoco Vistas Corp. Ltd.,,120.0,66.0,Offered,6,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,3.0
73.0,,GKW Consult GmbH,,82.0,53.0,Offered,5.5,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,8.0
74.0,,Tata Steel Ltd. (MT- Technical),,203.0,155.0,Offered,11.88,,,0,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,5.0
75.0,,Tata Steel Ltd. (MT- Systems),,496.0,360.0,Pending,10.58,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,0.0
76.0,,Wacker Metroark Chemicals Pvt. Ltd.,,53.0,18.0,Pending,5,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
77.0,,M.N. Dastur & Company Pvt. Ltd.,,226.0,112.0,Pending,5-5.25,,,,,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,0.0
78.0,,Hind Rectifiers Ltd. (PG),,26.0,23.0,Pending,10,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
79.0,,Hind Rectifiers Ltd. (UG),,78.0,47.0,Pending,8,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.0
80.0,,Tata Consultancy Services INE Hiring (PGET),,213.0,98.0,Pending,11.5,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0.0
81.0,,Tata Consultancy Services INE Hiring (GET),,360.0,248.0,Offered,9,1,,0,,1,,0,,0,,0,,0,,0,,,,0,,,,,,,,,,,,,,2.0
82.0,,Tata Power Ltd.,,234.0,166.0,Pending,6.64,,,0,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0.0
83.0,,Engineers India Ltd. (PG),,38.0,31.0,Pending,18.87,,,,,,,,,,0,,0,,0,,,,,,0,,,,,,,,,,,,,0.0
84.0,,Engineers India Ltd. (Management Trainee),,438.0,344.0,Offered,19.9,0,,,,0,,1,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,1.0
85.0,,Statcon Energia Pvt. Ltd.,,5.0,3.0,Pending,5,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
86.0,,Arrise Solution India Pvt. Ltd.,,29.0,21.0,Offered,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1.0
87.0,,Tata Consultancy Services NQT Hiring,,495.0,247.0,Offered,3.5-11,7,2,5,0,0,1,6,2,0,0,2,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,0,26.0
88.0,,Century Textiles & Industries Ltd.,,118.0,30.0,Offered,4.5,,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1.0
89.0,,WSP (2),,10.0,6.0,Pending,6.5,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0
90.0,,Hind Rectifiers Ltd.,,41.0,15.0,Pending,5.1-6,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
91.0,,VISA Steel Ltd.,,91.0,32.0,Offered,5.5,,,,,0,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3.0
