Year,fields,Percentage,departments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CST,CST,ETC,ETC,EE,EE,IT,IT,ME,ME,CE,CE,MET,MET,MIN,MIN,ARC,ARC,AERO,AERO,Geo Informatics,VLSI,Mat Science,Mechatronics,Food Proc.,REST,"Bio
-
Medical",Phys,Mths,Chem,MBA,Earth Science,Total,,,,,,,
,,,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,AM PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,,,,,,,,
2024,Total Offers as on 29.07.2024,,85,12,43,4,71,7,87,12,63,1,62,9,23,0,13,0,2,1,3,0,1,3,0,3,4,2,3,0,4,3,2,1,524,,,,,,,
2024,NO. OF COMPANY VISITED FOR DIFFERENT BRANCHES,,64,37,58,28,80,38,61,35,63,27,40,23,33,17,24,14,9,3,19,12,11,19,11,15,7,14,11,7,12,10,2,5,,,,,,,,
2024,ELIGIBLE / INTERESTED BATCH SIZE,,92,14,64,11,91,10,97,10,86,11,107,37,29,4,29,0,21,16,35,3,2,10,8,4,14,4,4,18,30,24,8,28,921,,,,,,,
2024,DEPARTMENT PLACEMENT PERCENT,56.89,[CST:91.5],,[ETC:62.67],,"EE,77.2",,"IT,92.5",,"ME,70.3",,"CE,49.3",,"MET,69.6",,"MIN,44.8",,"ARC,8.1",,"AERO,7.8",,"Geo Informatics,50","VLSI,30",0,75,28.5,50,75,0,13.3,12.5,25,3.57,,,,,,,,
,,,CST,CST,ETC,ETC,EE,EE,IT,IT,ME,ME,CE,CE,CE,MET,MET,MET,MIN,MIN,ARC,ARC,AERO,AERO,Geo Informatics,VLSI,Mat Science,Mechatronics,Food Proc.,REST,"Bio
-
MedIcal",Safety,Phys,Mths,Chem,MBA,Earth Science,Total,,,,
,,,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,DD,PG,UG,DD,PG,UG,PG,UG,PG,UG,AM PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,,,,,
2023,Total Offers,,101,6,56,9,93,16,100,8,87,8,86,0,21,45,0,0,45,0,3,0,18,2,0,10,2,6,8,2,9,0,0,4,1,3,4,753,,,,
2023,NO. OF COMPANY VISITED FOR DIFFERENT BRANCHES,,84,43,78,34,88,37,78,38,67,23,48,11,20,34,9,12,28,11,10,3,24,11,11,17,9,17,6,12,8,8,9,12,11,3,6,,,,,
2023,ELIGIBLE / INTERESTED BATCH SIZE,,94,12,58,15,89,22,95,10,85,18,103,2,48,33,1,3,36,2,15,13,36,12,3,15,8,10,18,9,11,2,12,26,14,7,33,970,,,,
2023,DEPARTMENT PLACEMENT PERCENT,77.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CST,CST,ETC,ETC,ETC,EE,EE,EE,IT,IT,IT,ME,ME,ME,CE,CE,CE,MET,MET,MET,MIN,MIN,ARC,ARC,AERO,AERO,AERO,VLSI,Mat Science,Mechatronics,Food Proc.,REST,"Bio
-
Medical",Safety,Phys,Mths,Chem,MBA,Earth Science,Total
,,,UG,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,PG,UG,PG,UG,DD,AM PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
2022,Total Offers,,104,15,59,0,19,87,0,8,110,0,18,77,0,11,101,1,5,42,0,6,30,0,4,0,21,0,3,12,3,16,3,7,4,1,1,5,0,3,0,776
2022,NO. OF COMPANY VISITED FOR DIFFERENT BRANCHES,,94,45,79,26,31,76,24,34,90,31,43,64,19,24,33,12,17,37,12,18,28,11,5,2,24,11,12,18,13,19,6,11,14,9,6,10,5,4,5,
